Protein1,Protein2,avg_n_models
Q6Y7W6,Q9UHY1,0.333
Q6Y7W6,Q9Y5J3,0.333
Q6YI46,Q9HBV2,0.333
Q6YP21,Q9P2J9,0.333
Q6ZMC9,Q86TI0,0.333
Q6ZMI3,Q96IK5,0.333
Q6ZMI3,Q96LX7,0.333
Q6ZMJ2,Q8N5B7,0.333
Q6ZMJ2,Q96JH8,0.333
Q6ZMJ4,Q92597,0.333
Q6ZMN7,Q96T68,0.333
Q6ZMN7,Q9BWT6,0.333
Q6ZMS7,Q9Y215,0.333
Q6ZMT1,Q9NVX0,0.333
Q6ZMV7,Q9HCM1,0.333
Q6ZN01,Q6ZVL6,0.333
Q6ZN01,Q8TF46,0.333
Q6ZN03,Q9Y2V0,0.333
Q6ZN04,Q8N336,0.333
Q6ZN06,Q8WV24,0.333
Q6ZN32,Q96Q77,0.333
Q6ZN66,Q8NBF6,0.333
Q6ZNC4,Q96A83,0.333
Q6ZNF0,Q8NG08,0.333
Q6ZNL6,Q8IYP2,0.333
Q6ZNM6,Q8NGN3,0.333
Q6ZNM6,Q9UJQ1,0.333
Q6ZNM6,Q9Y587,0.333
Q6ZNX1,Q9Y5J9,0.333
Q6ZPD8,Q8IXM2,0.333
Q6ZPD9,Q9UL18,0.333
Q6ZQQ2,Q8NG97,0.333
Q6ZQW0,Q8NBM4,0.333
Q6ZQX7,Q9Y6X3,0.333
Q6ZQY3,Q8IYA6,0.333
Q6ZRF8,Q9UJ41,0.333
Q6ZRQ5,Q8WVV9,0.333
Q6ZRR5,Q9BXP8,0.333
Q6ZRT6,Q8N4P3,0.333
Q6ZS17,Q9H4B0,0.333
Q6ZSG2,Q8TBC4,0.333
Q6ZSG2,Q9UL16,0.333
Q6ZSR6,Q9Y5Z4,0.333
Q6ZSZ6,Q99489,0.333
Q6ZT07,Q8IZL8,0.333
Q6ZT52,Q9BRQ3,0.333
Q6ZTA4,Q8WUD6,0.333
Q6ZTK2,Q8TED9,0.333
Q6ZTQ3,Q8NG77,0.333
Q6ZTU2,Q92979,0.333
Q6ZTW0,Q92478,0.333
Q6ZTY9,Q9NPC3,0.333
Q6ZUB1,Q9Y2I8,0.333
Q6ZUF6,Q86UD1,0.333
Q6ZUG5,Q86T29,0.333
Q6ZUI0,Q8N531,0.333
Q6ZV70,Q8N3H0,0.333
Q6ZV73,Q9Y653,0.333
Q6ZVD7,Q9UMX2,0.333
Q6ZVE7,Q8NAM6,0.333
Q6ZVK8,Q99062,0.333
Q6ZW05,Q8TDX7,0.333
Q6ZW13,Q9NU19,0.333
Q6ZW31,Q9Y397,0.333
Q6ZWI9,Q9BRR0,0.333
Q6ZWI9,Q9BRT9,0.333
Q6ZWJ1,Q7Z304,0.333
Q6ZWJ1,Q8NGC4,0.333
Q6ZWK6,Q9Y5V3,0.333
Q6ZYL4,Q99627,0.333
Q70EL2,Q8WVI7,0.333
Q70EL3,Q8IVG9,0.333
Q70IA6,Q92696,0.333
Q70IA8,Q96RD6,0.333
Q70IA8,Q9GZT3,0.333
Q70JA7,Q9H0Y0,0.333
Q70YC5,Q9NPB8,0.333
Q70Z53,Q9C0B6,0.333
Q719H9,Q9P287,0.333
Q71RC2,Q9NRF2,0.333
Q71SY5,Q96P70,0.333
Q71UM5,Q92819,0.333
Q71UM5,Q9UBD9,0.333
Q75VX8,Q92186,0.333
Q75VX8,Q9NVV4,0.333
Q75WM6,Q8N7Z5,0.333
Q76KP1,Q9Y5P1,0.333
Q7KZ85,Q96QT6,0.333
Q7KZN9,Q8N300,0.333
Q7L014,Q8N5U0,0.333
Q7L190,Q9Y2F9,0.333
Q7L1T6,Q9UKF7,0.333
Q7L211,Q96EZ8,0.333
Q7L2J0,Q8N5L8,0.333
Q7L2Z9,Q86WC4,0.333
Q7L3V2,Q9BZI7,0.333
Q7L513,Q9HCC6,0.333
Q7L523,Q9HAP2,0.333
Q7L5N7,Q96FZ5,0.333
Q7L7V1,Q9NUR3,0.333
Q7L7X3,Q9BQF6,0.333
Q7L8A9,Q8N5I3,0.333
Q7L8C5,Q86XP3,0.333
Q7L8W6,Q96KW9,0.333
Q7L945,Q9UL63,0.333
Q7LBE3,Q86V88,0.333
Q7LDI9,Q9NVG8,0.333
Q7LFL8,Q8NGK5,0.333
Q7RTM1,Q99543,0.333
Q7RTR2,Q9NX76,0.333
Q7RTS1,Q96R27,0.333
Q7RTT3,Q8N987,0.333
Q7RTT4,Q7Z570,0.333
Q7RTU3,Q9NPC7,0.333
Q7RTV0,Q8N1S5,0.333
Q7RTV3,Q9NZ45,0.333
Q7RTX7,Q9Y5J7,0.333
Q7RTY3,Q7Z3Z2,0.333
Q7RTY3,Q9Y663,0.333
Q7RTY8,Q9Y5J9,0.333
Q7RTZ2,Q9NWM8,0.333
Q7Z2E3,Q9UBB9,0.333
Q7Z2F6,Q8N895,0.333
Q7Z2G1,Q8NGH7,0.333
Q7Z2K6,Q9BTV4,0.333
Q7Z2K8,Q9H3L0,0.333
Q7Z2R9,Q9UI47,0.333
Q7Z2R9,Q9UIQ6,0.333
Q7Z2W9,Q8ND56,0.333
Q7Z304,Q8WXH5,0.333
Q7Z3B1,Q9NPH3,0.333
Q7Z3D4,Q8NH55,0.333
Q7Z3E2,Q9UEY8,0.333
Q7Z3F1,Q9Y692,0.333
Q7Z3G6,Q9NQ94,0.333
Q7Z3K3,Q9H6Q3,0.333
Q7Z3Q1,Q9H061,0.333
Q7Z3Y7,Q8TBN0,0.333
Q7Z3Y7,Q9H2G4,0.333
Q7Z3Z0,Q9HBI6,0.333
Q7Z434,Q96D21,0.333
Q7Z434,Q9BTM9,0.333
Q7Z449,Q8NET5,0.333
Q7Z478,Q9UBQ5,0.333
Q7Z4F1,Q7Z6J4,0.333
Q7Z4G1,Q92560,0.333
Q7Z4J2,Q8IUE6,0.333
Q7Z4J2,Q96HL8,0.333
Q7Z4N2,Q9UKF7,0.333
Q7Z4Q2,Q7Z5N4,0.333
Q7Z572,Q9BS86,0.333
Q7Z591,Q9Y2T7,0.333
Q7Z5A7,Q9Y5Q3,0.333
Q7Z5A8,Q7Z794,0.333
Q7Z5A8,Q9H503,0.333
Q7Z5H3,Q9BVA0,0.333
Q7Z5J4,Q9NYZ4,0.333
Q7Z5L3,Q9UHI8,0.333
Q7Z5L9,Q9NZL4,0.333
Q7Z5P4,Q9NW07,0.333
Q7Z5Q1,Q9HCD6,0.333
Q7Z5R6,Q9UEU5,0.333
Q7Z5Y6,Q96AP0,0.333
Q7Z695,Q86XN8,0.333
Q7Z698,Q9HAJ7,0.333
Q7Z6A9,Q9BQI4,0.333
Q7Z6I6,Q8WWM9,0.333
Q7Z6J2,Q8WYP3,0.333
Q7Z6J4,Q9UIF9,0.333
Q7Z6J6,Q92604,0.333
Q7Z6J8,Q9H354,0.333
Q7Z6J9,Q9C0C2,0.333
Q7Z6K1,Q9BYG7,0.333
Q7Z6R9,Q86UP6,0.333
Q7Z7B7,Q9BPZ3,0.333
Q7Z7C8,Q92901,0.333
Q7Z7E8,Q9NV58,0.333
Q7Z7G1,Q8IUR0,0.333
Q7Z7H3,Q9UKT5,0.333
Q7Z7H5,Q9H6X5,0.333
Q7Z7H5,Q9Y264,0.333
Q7Z7K6,Q9UGU5,0.333
Q7Z7N9,Q9NXL2,0.333
Q86SE8,Q9UHC7,0.333
Q86SG4,Q8N2I9,0.333
Q86SG6,Q96F44,0.333
Q86SQ9,Q96IL0,0.333
Q86SR1,Q9P031,0.333
Q86SX3,Q86UE8,0.333
Q86SX6,Q8TA86,0.333
Q86SZ2,Q9BUY7,0.333
Q86T13,Q8IYE0,0.333
Q86T13,Q96N58,0.333
Q86T20,Q9NRR5,0.333
Q86T65,Q9P0U4,0.333
Q86T82,Q9NXF8,0.333
Q86TG7,Q9NWS8,0.333
Q86TJ5,Q9BTT4,0.333
Q86TL0,Q9ULX5,0.333
Q86TU7,Q93098,0.333
Q86TU7,Q9NQS3,0.333
Q86TZ1,Q9UJH8,0.333
Q86U02,Q96D96,0.333
Q86U17,Q8NBZ9,0.333
Q86U17,Q8TDY8,0.333
Q86U28,Q99988,0.333
Q86U38,Q9NPL8,0.333
Q86UB9,Q8IYS0,0.333
Q86UD0,Q92859,0.333
Q86UD3,Q8N9F0,0.333
Q86UD7,Q9BT30,0.333
Q86UD7,Q9H2R5,0.333
Q86UE6,Q9Y4A0,0.333
Q86UF2,Q9ULW3,0.333
Q86UF4,Q99929,0.333
Q86UG4,Q9NY91,0.333
Q86UK7,Q9NUQ7,0.333
Q86UU1,Q8TAC2,0.333
Q86UV5,Q9NXH8,0.333
Q86UV6,Q9BRG1,0.333
Q86UV6,Q9UJ68,0.333
Q86UW2,Q9UBH6,0.333
Q86UW6,Q8WXJ9,0.333
Q86UW9,Q8WVE0,0.333
Q86UX6,Q9NP80,0.333
Q86UY5,Q9UI54,0.333
Q86UY6,Q99576,0.333
Q86V42,Q9H9A5,0.333
Q86V48,Q8IUQ0,0.333
Q86V71,Q9NP71,0.333
Q86V81,Q9BRA2,0.333
Q86V85,Q9Y314,0.333
Q86VD7,Q9Y3E1,0.333
Q86VF7,Q9P299,0.333
Q86VI1,Q8IYQ7,0.333
Q86VM9,Q99417,0.333
Q86VM9,Q99784,0.333
Q86VP3,Q9NVI7,0.333
Q86VQ1,Q8N1G0,0.333
Q86VR2,Q9NU63,0.333
Q86VZ2,Q96J92,0.333
Q86W92,Q8IY31,0.333
Q86WB0,Q8NGP0,0.333
Q86WB0,Q92667,0.333
Q86WC4,Q96QS1,0.333
Q86WC6,Q96AP0,0.333
Q86WG3,Q9BS18,0.333
Q86WG5,Q9NPJ6,0.333
Q86WJ1,Q8N0V4,0.333
Q86WK9,Q8IUN9,0.333
Q86WR7,Q8WUU5,0.333
Q86WT6,Q96HH9,0.333
Q86WW8,Q96B86,0.333
Q86X53,Q9UMX0,0.333
Q86XI8,Q969F1,0.333
Q86XK3,Q9Y3B6,0.333
Q86XN7,Q96KG9,0.333
Q86XN7,Q9NP55,0.333
Q86XN8,Q8NHA8,0.333
Q86XN8,Q9NW61,0.333
Q86XP1,Q92804,0.333
Q86XP1,Q9H867,0.333
Q86XP6,Q8NGT5,0.333
Q86XP6,Q9P1Z9,0.333
Q86XR2,Q9H6S3,0.333
Q86XT4,Q8IXI1,0.333
Q86Y34,Q92733,0.333
Q86Y37,Q9NYV4,0.333
Q86Y46,Q99593,0.333
Q86Y56,Q96PS6,0.333
Q86Y82,Q9NS28,0.333
Q86YC2,Q8WVM7,0.333
Q86YC2,Q9UL58,0.333
Q86YF9,Q9ULC6,0.333
Q86YG4,Q8TDB6,0.333
Q86YQ2,Q9NWT8,0.333
Q86YW5,Q8N9W5,0.333
Q8HWS3,Q9Y5K2,0.333
Q8IU54,Q8WYH8,0.333
Q8IU68,Q9NWU2,0.333
Q8IUB2,Q9UKB1,0.333
Q8IUE6,Q9NVH1,0.333
Q8IUH8,Q9H1U4,0.333
Q8IUN9,Q9H0U9,0.333
Q8IUR7,Q92187,0.333
Q8IUX1,Q9Y2X7,0.333
Q8IUZ0,Q9Y3M2,0.333
Q8IV08,Q99990,0.333
Q8IV20,Q8NH54,0.333
Q8IV31,Q96KK3,0.333
Q8IV32,Q9Y6E7,0.333
Q8IV33,Q9Y6G5,0.333
Q8IV38,Q9Y5K6,0.333
Q8IV50,Q9NRY5,0.333
Q8IVD9,Q9Y6P5,0.333
Q8IVL5,Q8TEU8,0.333
Q8IVL5,Q9UGI0,0.333
Q8IVT2,Q8NBX0,0.333
Q8IVV7,Q96A56,0.333
Q8IVW4,Q9BYP7,0.333
Q8IVW6,Q8TCB6,0.333
Q8IVY1,Q9NRG0,0.333
Q8IWA5,Q8NCW5,0.333
Q8IWA5,Q96LZ2,0.333
Q8IWA6,Q9Y2C9,0.333
Q8IWB9,Q9Y5W7,0.333
Q8IWD4,Q9Y255,0.333
Q8IWF6,Q9Y2A7,0.333
Q8IWJ2,Q8N4X5,0.333
Q8IWN6,Q8TAD8,0.333
Q8IWR0,Q92615,0.333
Q8IWT0,Q99853,0.333
Q8IWT0,Q9UQ84,0.333
Q8IWU2,Q8NHS3,0.333
Q8IWU6,Q96P47,0.333
Q8IWV7,Q96HP4,0.333
Q8IWV8,Q96MU8,0.333
Q8IWX5,Q9BYE9,0.333
Q8IWZ3,Q8IY49,0.333
Q8IX03,Q9NZN4,0.333
Q8IX07,Q96GE6,0.333
Q8IX15,Q8TD08,0.333
Q8IX19,Q8TAM2,0.333
Q8IX19,Q9BS16,0.333
Q8IXB3,Q96EN9,0.333
Q8IXJ9,Q9Y2R4,0.333
Q8IXK0,Q9NVM1,0.333
Q8IXK2,Q9UPX8,0.333
Q8IXL6,Q9BPY8,0.333
Q8IXM2,Q9HBI1,0.333
Q8IXQ9,Q9NSY1,0.333
Q8IXT1,Q96BU1,0.333
Q8IXX5,Q9Y5H4,0.333
Q8IXZ3,Q9H469,0.333
Q8IXZ3,Q9P2Y5,0.333
Q8IXZ3,Q9ULR0,0.333
Q8IY33,Q8WYN3,0.333
Q8IY33,Q9P2G9,0.333
Q8IY63,Q8NDG6,0.333
Q8IY63,Q8WVL7,0.333
Q8IY81,Q9H6U6,0.333
Q8IY84,Q9BT23,0.333
Q8IY92,Q92750,0.333
Q8IYA2,Q8NBT3,0.333
Q8IYA7,Q99603,0.333
Q8IYA7,Q9Y2V0,0.333
Q8IYB8,Q8WUA7,0.333
Q8IYD8,Q8NDQ6,0.333
Q8IYE0,Q8IYX4,0.333
Q8IYH5,Q96DT0,0.333
Q8IYI0,Q9Y3D0,0.333
Q8IYJ2,Q96DZ9,0.333
Q8IYK8,Q9BXU2,0.333
Q8IYK8,Q9C098,0.333
Q8IYL3,Q9NQ03,0.333
Q8IYN2,Q9H3K2,0.333
Q8IYN6,Q8TAP4,0.333
Q8IYP2,Q9HBM0,0.333
Q8IYS0,Q96EV2,0.333
Q8IYT8,Q8NCM2,0.333
Q8IYU4,Q9NRM7,0.333
Q8IYU8,Q9BQI6,0.333
Q8IYW4,Q8TD20,0.333
Q8IYX8,Q9GZY0,0.333
Q8IYY4,Q8WWQ2,0.333
Q8IZC6,Q8N100,0.333
Q8IZC6,Q9H0Y0,0.333
Q8IZF0,Q9H1A3,0.333
Q8IZF2,Q8IZF5,0.333
Q8IZF3,Q9BVV7,0.333
Q8IZF4,Q8TAX0,0.333
Q8IZL2,Q9BPY3,0.333
Q8IZM8,Q96QS3,0.333
Q8IZM8,Q9Y371,0.333
Q8IZM9,Q9UI08,0.333
Q8IZP0,Q96QB1,0.333
Q8IZQ5,Q96EQ0,0.333
Q8IZT8,Q9UJX0,0.333
Q8IZT9,Q9H061,0.333
Q8IZT9,Q9Y2N7,0.333
Q8IZU8,Q9Y2P7,0.333
Q8IZV5,Q9H4D0,0.333
Q8IZV5,Q9UJU5,0.333
Q8N0T1,Q8N8H1,0.333
Q8N0U2,Q9NQZ5,0.333
Q8N0Z2,Q9UHG3,0.333
Q8N119,Q8TAL5,0.333
Q8N126,Q9NYJ8,0.333
Q8N129,Q9NUS5,0.333
Q8N130,Q96D96,0.333
Q8N135,Q96MF6,0.333
Q8N138,Q96BF3,0.333
Q8N142,Q8WWQ0,0.333
Q8N145,Q9Y276,0.333
Q8N149,Q8NCS7,0.333
Q8N158,Q9BSJ2,0.333
Q8N163,Q8NCE0,0.333
Q8N1E6,Q9Y4E6,0.333
Q8N1K5,Q96F46,0.333
Q8N1L9,Q9NRY2,0.333
Q8N1M1,Q9H7B4,0.333
Q8N1V8,Q9BXA6,0.333
Q8N1W2,Q8NGQ3,0.333
Q8N1W2,Q96MT7,0.333
Q8N239,Q8TF47,0.333
Q8N2C9,Q9UKR3,0.333
Q8N2F6,Q9Y5G5,0.333
Q8N2K1,Q8N653,0.333
Q8N2R8,Q96QI5,0.333
Q8N2Y8,Q9H0B6,0.333
Q8N344,Q96A99,0.333
Q8N349,Q9H0B6,0.333
Q8N365,Q8N8F6,0.333
Q8N365,Q9BW19,0.333
Q8N371,Q9BWD3,0.333
Q8N393,Q96MC4,0.333
Q8N3D4,Q92747,0.333
Q8N3E9,Q8TE23,0.333
Q8N3J6,Q9UKA2,0.333
Q8N3R3,Q8N5I3,0.333
Q8N3S3,Q9H596,0.333
Q8N3Z6,Q92730,0.333
Q8N414,Q9NX31,0.333
Q8N423,Q9NVL8,0.333
Q8N427,Q92879,0.333
Q8N427,Q9Y312,0.333
Q8N436,Q9BRU2,0.333
Q8N456,Q8N9U0,0.333
Q8N461,Q9P242,0.333
Q8N475,Q9NXF1,0.333
Q8N488,Q8TDI0,0.333
Q8N490,Q92609,0.333
Q8N4E7,Q8N5N7,0.333
Q8N4F7,Q96QD5,0.333
Q8N4H0,Q8NAQ8,0.333
Q8N4H0,Q96R54,0.333
Q8N4H5,Q9H9Z2,0.333
Q8N4L8,Q8NH80,0.333
Q8N4P2,Q9HBI5,0.333
Q8N4P3,Q96JZ2,0.333
Q8N4T4,Q9UM63,0.333
Q8N4V1,Q8NAV2,0.333
Q8N4V2,Q9BTF0,0.333
Q8N4Z0,Q96T23,0.333
Q8N531,Q92543,0.333
Q8N535,Q9BXI6,0.333
Q8N535,Q9UMR3,0.333
Q8N556,Q8NA23,0.333
Q8N556,Q9H3K2,0.333
Q8N565,Q96IQ9,0.333
Q8N568,Q96QZ0,0.333
Q8N5B7,Q9Y5H6,0.333
Q8N5C8,Q99623,0.333
Q8N5F7,Q96BN6,0.333
Q8N5H7,Q9H0U4,0.333
Q8N5K1,Q9H2A9,0.333
Q8N5M1,Q96SN8,0.333
Q8N5M9,Q9H813,0.333
Q8N5M9,Q9Y6Q3,0.333
Q8N5P1,Q9BYH1,0.333
Q8N5S3,Q8N6M0,0.333
Q8N5U0,Q9NRY7,0.333
Q8N5Z5,Q96DR5,0.333
Q8N680,Q9H6K5,0.333
Q8N688,Q9Y305,0.333
Q8N693,Q9P1Q0,0.333
Q8N6D2,Q9P202,0.333
Q8N6F1,Q96BA8,0.333
Q8N6F8,Q9C0F3,0.333
Q8N6F8,Q9UL16,0.333
Q8N6K4,Q9Y4R8,0.333
Q8N6L1,Q9NXB9,0.333
Q8N6M6,Q9Y6U7,0.333
Q8N6N2,Q9BR61,0.333
Q8N6V9,Q92614,0.333
Q8N769,Q9Y5W8,0.333
Q8N7A1,Q9H7F4,0.333
Q8N7B1,Q9Y4I5,0.333
Q8N7C0,Q9BQY4,0.333
Q8N7C7,Q9UJM3,0.333
Q8N7P1,Q9BQI0,0.333
Q8N7P1,Q9UHJ9,0.333
Q8N7R7,Q8NFY4,0.333
Q8N7U7,Q9Y6H1,0.333
Q8N7W2,Q9HA65,0.333
Q8N7X0,Q9NSC5,0.333
Q8N7X4,Q8NEP3,0.333
Q8N808,Q92833,0.333
Q8N815,Q9H7P9,0.333
Q8N819,Q9Y4W2,0.333
Q8N831,Q96S96,0.333
Q8N878,Q92753,0.333
Q8N878,Q9ULB5,0.333
Q8N883,Q96NA2,0.333
Q8N884,Q9Y5A7,0.333
Q8N8B7,Q9BTL3,0.333
Q8N8B7,Q9BWT1,0.333
Q8N8F7,Q9UPM6,0.333
Q8N8G6,Q9BUL5,0.333
Q8N8Y2,Q9Y6W3,0.333
Q8N8Z6,Q8NCE0,0.333
Q8N907,Q9HB89,0.333
Q8N912,Q8NFH3,0.333
Q8N912,Q9H1Z8,0.333
Q8N944,Q8WWU5,0.333
Q8N966,Q9H334,0.333
Q8N998,Q96RJ6,0.333
Q8N999,Q8NHB7,0.333
Q8N9A8,Q9C086,0.333
Q8N9C0,Q8NET6,0.333
Q8N9F8,Q9H2Z4,0.333
Q8N9H9,Q9NP99,0.333
Q8N9M5,Q9NQS1,0.333
Q8N9N5,Q96N20,0.333
Q8N9T8,Q8WWY6,0.333
Q8N9T8,Q96KK5,0.333
Q8N9T8,Q96T55,0.333
Q8N9W6,Q99677,0.333
Q8N9W7,Q9Y6D0,0.333
Q8NA92,Q96QV1,0.333
Q8NAA6,Q9H063,0.333
Q8NB12,Q9Y3C0,0.333
Q8NB42,Q9ULQ1,0.333
Q8NBA8,Q8NGI2,0.333
Q8NBH2,Q9Y6P5,0.333
Q8NBI5,Q8NGT9,0.333
Q8NBJ4,Q8TCT1,0.333
Q8NBN7,Q96AQ2,0.333
Q8NBR6,Q99489,0.333
Q8NC06,Q9H343,0.333
Q8NC74,Q8WV37,0.333
Q8NC96,Q96JE9,0.333
Q8NCC5,Q96MZ0,0.333
Q8NCE0,Q96MP5,0.333
Q8NCE0,Q9BYD6,0.333
Q8NCF5,Q9H0L4,0.333
Q8NCF5,Q9UBL0,0.333
Q8NCG5,Q8WYN0,0.333
Q8NCK7,Q9Y535,0.333
Q8NCK7,Q9Y5R6,0.333
Q8NCL4,Q9H503,0.333
Q8NCL8,Q9P086,0.333
Q8NCN2,Q9UBM4,0.333
Q8NCN5,Q9H0I3,0.333
Q8NCQ7,Q9BY14,0.333
Q8NCW0,Q8TDZ2,0.333
Q8NCW5,Q9NP91,0.333
Q8ND24,Q9H339,0.333
Q8ND56,Q9BTM9,0.333
Q8NDI1,Q99581,0.333
Q8NDQ6,Q8NEF9,0.333
Q8NDV2,Q9NP74,0.333
Q8NDX5,Q9H239,0.333
Q8NDX6,Q9BY71,0.333
Q8NDX9,Q9NP77,0.333
Q8NDY8,Q9Y3D9,0.333
Q8NDZ2,Q9Y5Y5,0.333
Q8NDZ6,Q9H6X5,0.333
Q8NE09,Q9Y4F9,0.333
Q8NE18,Q9ULE6,0.333
Q8NE62,Q9BXB4,0.333
Q8NE63,Q9BXU0,0.333
Q8NEA9,Q9UIS9,0.333
Q8NEG0,Q8NGS1,0.333
Q8NEG5,Q9Y5Q5,0.333
Q8NEP7,Q92791,0.333
Q8NEP7,Q96JE9,0.333
Q8NEQ6,Q9UKD1,0.333
Q8NER5,Q9HB89,0.333
Q8NET6,Q9H7D0,0.333
Q8NEX5,Q96HP4,0.333
Q8NEY1,Q96E93,0.333
Q8NEY3,Q8NHC4,0.333
Q8NEY3,Q9Y5N5,0.333
Q8NEY8,Q96B33,0.333
Q8NEY8,Q9UK05,0.333
Q8NFD2,Q9NPG1,0.333
Q8NFF5,Q96CM8,0.333
Q8NFH3,Q9Y691,0.333
Q8NFH8,Q9BUI4,0.333
Q8NFI3,Q8WY91,0.333
Q8NFI3,Q9H244,0.333
Q8NFJ5,Q9UPZ6,0.333
Q8NFJ6,Q92845,0.333
Q8NFL0,Q96DN0,0.333
Q8NFM7,Q9NXF1,0.333
Q8NFQ5,Q96A47,0.333
Q8NFR9,Q9NQB0,0.333
Q8NFW1,Q96J01,0.333
Q8NFW5,Q9HCC9,0.333
Q8NFW9,Q9UFD9,0.333
Q8NFY4,Q9HBU6,0.333
Q8NG95,Q9NPI6,0.333
Q8NGB6,Q9UI10,0.333
Q8NGC0,Q9Y283,0.333
Q8NGE7,Q92748,0.333
Q8NGE7,Q9NZS2,0.333
Q8NGF4,Q96JM3,0.333
Q8NGG0,Q9H6B9,0.333
Q8NGG2,Q9UJX2,0.333
Q8NGH6,Q9H560,0.333
Q8NGH8,Q8WXS4,0.333
Q8NGI6,Q9Y223,0.333
Q8NGN0,Q9BU68,0.333
Q8NGP3,Q99541,0.333
Q8NGP9,Q99865,0.333
Q8NGR8,Q9UBZ4,0.333
Q8NGS1,Q9Y5G6,0.333
Q8NGS6,Q8TC76,0.333
Q8NGS8,Q8WWX9,0.333
Q8NGT0,Q96LW9,0.333
Q8NGV6,Q99747,0.333
Q8NGX0,Q8TEJ3,0.333
Q8NGY0,Q8TB37,0.333
Q8NGY9,Q9UJJ9,0.333
Q8NGZ4,Q9ULG3,0.333
Q8NGZ5,Q8TE60,0.333
Q8NH00,Q9NPG4,0.333
Q8NH02,Q9Y624,0.333
Q8NH04,Q969M3,0.333
Q8NH07,Q9BT88,0.333
Q8NH37,Q9Y2T1,0.333
Q8NH43,Q9H4T2,0.333
Q8NH56,Q8TBF4,0.333
Q8NH56,Q9UIV1,0.333
Q8NH70,Q9BQA9,0.333
Q8NH70,Q9Y6S9,0.333
Q8NH73,Q9UBS9,0.333
Q8NH76,Q9BZA5,0.333
Q8NH79,Q9UIL4,0.333
Q8NH80,Q9NQY0,0.333
Q8NH81,Q9H5K3,0.333
Q8NHB7,Q9UJQ1,0.333
Q8NHB8,Q9UIL8,0.333
Q8NHC4,Q96MC5,0.333
Q8NHG7,Q8TBR4,0.333
Q8NHH1,Q9Y5U2,0.333
Q8NHP6,Q96R69,0.333
Q8NHQ8,Q9Y236,0.333
Q8NHR9,Q8TBB1,0.333
Q8NHS1,Q9Y6R4,0.333
Q8NHU0,Q9BXA6,0.333
Q8NHU2,Q9GZS1,0.333
Q8NHU2,Q9NTI2,0.333
Q8NHX9,Q9UBS3,0.333
Q8NHY0,Q9H106,0.333
Q8NHY2,Q99445,0.333
Q8NHY5,Q9BUF7,0.333
Q8NI08,Q99638,0.333
Q8NI17,Q9BUZ4,0.333
Q8NI36,Q8WV37,0.333
Q8NI60,Q9BVK8,0.333
Q8TA94,Q9P2W7,0.333
Q8TAB3,Q9H0R3,0.333
Q8TAC2,Q9UM82,0.333
Q8TAD2,Q96AQ7,0.333
Q8TAI7,Q9UBX0,0.333
Q8TAK6,Q8TF72,0.333
Q8TAM1,Q9NUS5,0.333
Q8TAS1,Q9UPR3,0.333
Q8TAY7,Q9HB90,0.333
Q8TB61,Q9UQF0,0.333
Q8TBB0,Q8TCA0,0.333
Q8TBB5,Q96F25,0.333
Q8TBB5,Q9Y4A8,0.333
Q8TBE3,Q9NXG0,0.333
Q8TBG9,Q9Y240,0.333
Q8TBP0,Q96LR4,0.333
Q8TBR4,Q9BWW4,0.333
Q8TC29,Q8WU68,0.333
Q8TC84,Q9Y3U8,0.333
Q8TC94,Q9NY57,0.333
Q8TCB6,Q9NX38,0.333
Q8TCC7,Q8WWH5,0.333
Q8TCE6,Q96D42,0.333
Q8TCF1,Q9H4A9,0.333
Q8TCN5,Q92843,0.333
Q8TCU5,Q9BZM5,0.333
Q8TCX1,Q9BQC3,0.333
Q8TCX1,Q9H079,0.333
Q8TD35,Q8WUU4,0.333
Q8TD43,Q9BXS4,0.333
Q8TD46,Q9Y673,0.333
Q8TD47,Q9Y2I9,0.333
Q8TD84,Q96R27,0.333
Q8TDE3,Q92670,0.333
Q8TDG4,Q9NZZ3,0.333
Q8TDH9,Q96D71,0.333
Q8TDM6,Q9NZU0,0.333
Q8TDN6,Q9NPC8,0.333
Q8TDQ7,Q8WVH0,0.333
Q8TDV0,Q9Y6A9,0.333
Q8TDX6,Q9NPC3,0.333
Q8TDX7,Q9NUU6,0.333
Q8TDY2,Q9BUL5,0.333
Q8TDY8,Q969E4,0.333
Q8TE02,Q9H2W6,0.333
Q8TE56,Q96RI8,0.333
Q8TE76,Q99952,0.333
Q8TE96,Q9NQB0,0.333
Q8TE99,Q9BW61,0.333
Q8TEK3,Q9NSY0,0.333
Q8TEP8,Q96IQ9,0.333
Q8TEU8,Q9H9F9,0.333
Q8TEW0,Q92914,0.333
Q8TEW8,Q96TA0,0.333
Q8TF42,Q9UPR6,0.333
Q8TF50,Q96F81,0.333
Q8TF64,Q9H0X9,0.333
Q8WTR2,Q9NXF8,0.333
Q8WTT0,Q96R09,0.333
Q8WTV0,Q9UKB5,0.333
Q8WTV1,Q9NT99,0.333
Q8WU90,Q9BX95,0.333
Q8WUA4,Q9ULL0,0.333
Q8WUJ0,Q96GC9,0.333
Q8WUM4,Q9H5X1,0.333
Q8WV19,Q9BVG4,0.333
Q8WV19,Q9Y3Q4,0.333
Q8WV22,Q9Y5R8,0.333
Q8WV83,Q96PX1,0.333
Q8WVC6,Q8WXG8,0.333
Q8WVF1,Q9Y6P5,0.333
Q8WVI7,Q9UJH8,0.333
Q8WVN6,Q9Y625,0.333
